Country,PM2_5,Attr_Mort,Total_Mort,Percent_Attr,Original Region,Region
Philippines,18.4,43218,640000,6.7528125,Southeast_Asia,Southeast Asia
Thailand,26.4,38193,542000,7.046678967,Southeast_Asia,Southeast Asia
East Timor,15.3,386,8000,4.825,Southeast_Asia,Southeast Asia
Vietnam,20,46955,615000,7.63495935,Southeast_Asia,Southeast Asia
Botswana,24.3,1213,13000,9.330769231,Southern_Sub_Saharan_Africa,Southern Africa
Lesotho,29.4,1800,30000,6,Southern_Sub_Saharan_Africa,Southern Africa
Namibia,24.4,1128,20000,5.64,Southern_Sub_Saharan_Africa,Southern Africa
South Africa,28.8,34898,550000,6.345090909,Southern_Sub_Saharan_Africa,Southern Africa
Swaziland,23.1,561,10000,5.61,Southern_Sub_Saharan_Africa,Southern Africa
Zimbabwe,21.7,5900,114000,5.175438596,Southern_Sub_Saharan_Africa,Southern Africa
Benin,42.6,7039,103000,6.833980583,Western_Sub_Saharan_Africa,West Africa
Burkina Faso,50.4,16949,161000,10.52732919,Western_Sub_Saharan_Africa,West Africa
Cameroon,58.9,19088,235000,8.122553191,Western_Sub_Saharan_Africa,West Africa
Cape Verde,46.4,393,3000,13.1,Western_Sub_Saharan_Africa,West Africa
Chad,55.3,13333,190000,7.017368421,Western_Sub_Saharan_Africa,West Africa
Ivory Coast,52.1,16003,254000,6.300393701,Western_Sub_Saharan_Africa,West Africa
Ghana,54,22565,220000,10.25681818,Western_Sub_Saharan_Africa,West Africa
Guinea,50.4,11118,105000,10.58857143,Western_Sub_Saharan_Africa,West Africa
Guinea Bissau,54.6,1400,13000,10.76923077,Western_Sub_Saharan_Africa,West Africa
Liberia,46.5,2170,37000,5.864864865,Western_Sub_Saharan_Africa,West Africa
Mali,56.5,14124,186000,7.593548387,Western_Sub_Saharan_Africa,West Africa
Mauritania,64.3,2501,32000,7.815625,Western_Sub_Saharan_Africa,West Africa
Niger,70.9,19482,188000,10.36276596,Western_Sub_Saharan_Africa,West Africa
Nigeria,64.2,152639,2342000,6.517463706,Western_Sub_Saharan_Africa,West Africa
Sao Tome and Principe,29.5,98,1000,9.8,Western_Sub_Saharan_Africa,West Africa
Senegal,60.5,9924,91000,10.90549451,Western_Sub_Saharan_Africa,West Africa
Sierra Leone,48.2,6034,90000,6.704444444,Western_Sub_Saharan_Africa,West Africa
Gambia,58.6,1538,18000,8.544444444,Western_Sub_Saharan_Africa,West Africa
Togo,44.4,4440,67000,6.626865672,Western_Sub_Saharan_Africa,West Africa
Austria,12.1,2368,88000,2.690909091,Western_Europe,Western Europe
Belgium,12.8,3717,113000,3.289380531,Western_Europe,Western Europe
Denmark,10.2,1403,57000,2.461403509,Western_Europe,Western Europe
Finland,5.2,254,54000,0.4703703704,Western_Europe,Western Europe
France,11.6,13733,609000,2.25500821,Western_Europe,Western Europe
Germany,11.9,27266,944000,2.888347458,Western_Europe,Western Europe
Greece,14.6,5806,115000,5.048695652,Western_Europe,Western Europe
Iceland,5.6,13,2000,0.65,Western_Europe,Western Europe
Ireland,7.7,499,30000,1.663333333,Western_Europe,Western Europe
Italy,15.6,25517,642000,3.974610592,Western_Europe,Western Europe
Luxembourg,9.9,85,4000,2.125,Western_Europe,Western Europe
Malta,12.4,138,4000,3.45,Western_Europe,Western Europe
Netherlands,12.4,4847,151000,3.209933775,Western_Europe,Western Europe
Norway,6.5,385,43000,0.8953488372,Western_Europe,Western Europe
Portugal,8.6,2202,110000,2.001818182,Western_Europe,Western Europe
Spain,9.9,9163,428000,2.14088785,Western_Europe,Western Europe
Sweden,5.7,583,91000,0.6406593407,Western_Europe,Western Europe
Switzerland,10.2,1404,69000,2.034782609,Western_Europe,Western Europe
England,10.5,16453,634000,2.59511041,Western_Europe,Western Europe
Global,41.7,6222380,58394000,10.65585505,,Global Average
